Archive	LatLong
"Abraham Lincoln Presidential Library and Museum. Springfield, Illinois."	"39.803335, -89.647129"
"Alabama Department of Archives and History. Montgomery, Alabama."	"32.375705, -86.300738"
"Alverno College, Archives. Milwaukee, Wisconsin."	"42.983334, -87.964890"
"Maryland State Archives. Annapolis, Maryland."	"38.986409, -76.500893"
"Archives of Michigan. Lansing, Michigan."	"42.732051, -84.562774"
"Arizona State University, Archives and Special Collections. Tempe, Arizona."	"32.230987, -110.948956"
"Auraria Library. Denver, Colorado."	"39.743014, -105.002868"
"Boston College, John J. Burns Library, Archives and Manuscripts Department. Boston, Massachusetts."	"42.336560, -71.171327"
"Brigham Young University, Harold B. Lee Library. Provo, Utah."	"40.248825, -111.649225"
"Brown University, John Hay Library. Providence, Rhode Island."	"41.826196, -71.402507"
"California State University, Long Beach, Virtual Oral Aural History Archive, Special Collections and Archive. Long Beach, California."	"33.777172, -118.114670"
"California State University, Sacramento, Department of Special Collections and University Archives. Sacramento, California."	"38.559450, -121.423699"
"Jimmy Carter Presidential Library. Atlanta, Georgia."	"33.766305, -84.356246"
"Center for the Study of Political Graphics. Culver City, California."	"34.010951, -118.415001"
"Central Washington University, Archives and Special Collections. Ellensburg, Washington."	"47.000338, -120.542148"
"Chicago History Museum. Chicago, Illinois."	"41.911994, -87.631518"
"Claremont Colleges, California, Special Collections at the Intercollegiate Feminist Center. Claremont, California."	"34.102930, -117.709568"
"Columbia University, Center for Oral History. New York, New York."	"40.811585, -73.960932"
"Columbia University, Rare Book & Manuscript Library. New York, New York."	"40.806127, -73.963094"
"Cornell University, Division of Rare Manuscript Collections. Ithaca, New York."	"42.433454, -76.465400"
"Cornell University, Kheel Center for Labor-Management Documentation and Archives. Ithaca, New York."	"42.447200, -76.481000"
"Dallas Public Library, Dallas History and Archives Division. Dallas, Texas."	"32.778346, -96.797080"
"Denver Public Library, Western History/Genealogy Department. Denver, Colorado."	"39.737572, -104.988225"
"Detroit Public Library, Special Collections. Detroit, Michigan."	"42.358381, -83.066670"
"Duke University. David M. Rubenstein Rare Book & Manuscript Library. Durham, North Carolina."	"36.001832, -78.938720"
"Emory University, Robert W. Woodruff Library, Stuart A. Rose Manuscript, Archives, and Rare Book Library. Atlanta, Georgia."	"33.790436, -84.322879"
"Gerald R. Ford Library. Ann Arbor, Michigan."	"42.288501, -83.712360"
"Gay, Lesbian, Bisexual, Transgender Historical Society. San Francisco, California."	"37.782281, -122.409531"
"Georgia Department of Archives and History. Morrow, Georgia."	"33.596913, -84.336854"
